Task,Title,index,label,confidence
"Inspect waste pretreatment, treatment, and disposal facilities and systems for conformance to federal, state, or local regulations.",Environmental Compliance Inspectors,8016,E2,moderate
Inspect water-powered electric generators or auxiliary equipment in hydroelectric plants to verify proper operation or to determine maintenance or repair needs.,Hydroelectric Plant Technicians,8017,E0,high
"Inspect wiring connections, control panel hookups, door installations, and alignments and clearances of cars and hoistways to ensure that equipment will operate properly.",Elevator and Escalator Installers and Repairers,8018,E0,high
Inspect work areas or operating equipment to ensure conformance to established standards in areas such as cleanliness or maintenance.,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services First-Line Supervisors of Personal Service Workers First-Line Supervisors of Passenger Attendants",8019,E1,high
"Inspect work of aircraft mechanics performing maintenance, modification, or repair and overhaul of aircraft and aircraft mechanical systems to ensure adherence to standards and procedures.",Aviation Inspectors,8020,E0,high
Inspect work performed to ensure that it meets specifications and established standards.,First-Line Supervisors of Housekeeping and Janitorial Workers,8021,E0,high
"Inspect work progress, equipment, or construction sites to verify safety or to ensure that specifications are met.",First-Line Supervisors of Construction Trades and Extraction Workers,8022,E2,moderate
Inspect work sites for obstructions or holes that could cause structural weakness.,"Plumbers, Pipefitters, and Steamfitters",8023,E0,high
Inspect work sites to identify physical hazards.,Human Factors Engineers and Ergonomists,8024,E2,moderate
"Inspect workpieces for defects, and measure workpieces to determine accuracy of machine operation, using rules, templates, or other measuring instruments.","Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",8025,E0,high
"Inspect workplaces to ensure the absence of health and safety hazards, such as high noise levels, radiation, or potential lighting hazards.","Environmental Science and Protection Technicians, Including Health",8026,E0,high
"Inspect worn tires for faults, cracks, cuts, and nail holes, and to determine if tires are suitable for retreading.",Tire Builders,8027,E1,high
"Inspect, adjust, or control radio equipment or airport lights.",Air Traffic Controllers,8028,E0,high
"Inspect, clean, and assemble molds before beginning work.",Fiberglass Laminators and Fabricators,8029,E0,high
"Inspect, clean, and repair drainage systems, bridges, tunnels, and other structures.",Highway Maintenance Workers,8030,E0,high
"Inspect, clean, maintain, and repair equipment, using mechanics' hand tools, or report malfunctions to supervisors.","Paving, Surfacing, and Tamping Equipment Operators",8031,E0,high
"Inspect, clean, test, and maintain respiratory therapy equipment to ensure equipment is functioning safely and efficiently, ordering repairs when necessary.",Respiratory Therapists,8032,E0,high
"Inspect, diagnose, maintain, and operate test setups and equipment to detect malfunctions.",Aerospace Engineering and Operations Technologists and Technicians,8033,E0,high
"Inspect, examine, and test the operation of parts or systems to evaluate operating condition and to determine if repairs are needed.",Manufactured Building and Mobile Home Installers,8034,E0,high
"Inspect, examine, or test installed systems or pipe lines, using pressure gauge, hydrostatic testing, observation, or other methods.","Plumbers, Pipefitters, and Steamfitters",8035,E0,high
"Inspect, feel, and measure workpieces to ensure that surfaces and dimensions meet specifications.","Tool Grinders, Filers, and Sharpeners",8036,E0,high
"Inspect, maintain, and repair equipment, machinery, buildings, pens, yards, and fences.","Farmworkers, Farm, Ranch, and Aquacultural Animals",8037,E0,high
"Inspect, maintain, and replace batteries as needed.",Signal and Track Switch Repairers,8038,E1,moderate
"Inspect, measure, or test completed metal workpieces to ensure conformance to specifications, using measuring and testing devices.","Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",8039,E0,high
"Inspect, operate, and test completed products to verify functioning, machine capabilities, or conformance to customer specifications.",Engine and Other Machine Assemblers,8040,E0,high
"Inspect, operate, or test machinery or equipment to diagnose machine malfunctions.","Maintenance and Repair Workers, General",8041,E1,high
"Inspect, repair, and maintain automotive and mechanical equipment and machinery, such as pumps and compressors.",Bus and Truck Mechanics and Diesel Engine Specialists,8042,E0,high
"Inspect, repair, or replace brake systems.",Recreational Vehicle Service Technicians,8043,E2,moderate
"Inspect, test, and adjust completed units to ensure that units meet specifications, tolerances, and customer order requirements.",Electromechanical Equipment Assemblers,8044,E0,high
"Inspect, test, and listen to defective equipment to diagnose malfunctions, using test instruments such as handheld computers, motor analyzers, chassis charts, or pressure gauges.",Bus and Truck Mechanics and Diesel Engine Specialists,8045,E0,high
"Inspect, test, and measure completed work, using devices such as hand tools or gauges to verify conformance to standards or repair requirements.","First-Line Supervisors of Mechanics, Installers, and Repairers",8046,E0,high
"Inspect, test, or measure materials, products, installations, or work for conformance to specifications.","Inspectors, Testers, Sorters, Samplers, and Weighers",8047,E1,moderate
"Inspect, test, or troubleshoot malfunctioning medical or related equipment, following manufacturers' specifications and using test and analysis instruments.",Medical Equipment Repairers,8048,E0,high
"Inspect, weigh, and measure mounted or unmounted lenses after completion to verify alignment and conformance to specifications, using precision instruments.",Ophthalmic Laboratory Technicians,8049,E2,moderate
"Inspect, weigh, and measure products to verify conformance to specifications, using instruments such as micrometers, calipers, magnifiers, or rulers.","Glass Blowers, Molders, Benders, and Finishers",8050,E0,high
"Install accessories in swaging machines, using hand tools.","Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",8051,E0,high
"Install active solar systems, including solar collectors, concentrators, pumps, or fans.",Solar Photovoltaic Installers,8052,E0,high
Install alarm and electronic access systems.,Locksmiths and Safe Repairers,8053,E0,high
"Install all necessary transmission equipment components, including antennas or antenna mounts, surge arrestors, transmission lines, connectors, or tower-mounted amplifiers (TMAs).","Radio, Cellular, and Tower Equipment Installers and Repairers",8054,E0,high
"Install anchor bolts, steel plates, door sills and other fixtures in freshly poured concrete or pattern or stamp the surface to provide a decorative finish.",Cement Masons and Concrete Finishers,8055,E0,high
"Install and adjust blades, cutterheads, boring-bits, or sanding-belts, using hand tools and rules.","Woodworking Machine Setters, Operators, and Tenders, Except Sawing",8056,E0,high
Install and adjust brakes and brake pads.,Bicycle Repairers,8057,E0,high
Install and adjust speed and gear mechanisms.,Bicycle Repairers,8058,E2,moderate
"Install and align repaired or replacement parts for subsequent riveting or welding, using clamps and wrenches.",Aircraft Mechanics and Service Technicians,8059,E0,high
"Install and anchor fixtures in designated positions, using hand tools.",Tile and Stone Setters,8060,E0,high
Install and configure hypertext transfer protocol (HTTP) servers and associated operating systems.,Web Developers,8061,E1,high
"Install and configure new equipment, including operating software or peripheral equipment.","Computer, Automated Teller, and Office Machine Repairers",8062,E2,moderate
Install and configure recreations of software production environments to allow testing of software performance.,Software Quality Assurance Analysts and Testers,8063,E2,moderate
Install and configure wireless networking equipment.,Computer Network Support Specialists,8064,E2,moderate
"Install and connect auxiliary equipment, such as microphones, amplifiers, disc playback machines, and lights.",Motion Picture Projectionists,8065,E2,moderate
Install and maintain geothermal plant electrical protection equipment.,Geothermal Technicians,8066,E0,high
Install and maintain geothermal system instrumentation or controls.,Geothermal Technicians,8067,E0,high
"Install and perform minor repairs to hardware, software, or peripheral equipment, following design or installation specifications.",Computer User Support Specialists,8068,E0,high
"Install and repair agricultural irrigation, plumbing, and sprinkler systems.",Farm Equipment Mechanics and Service Technicians,8069,E0,high
"Install and repair interior flooring, fixtures, walls, plumbing, steps, and platforms.",Rail Car Repairers,8070,E0,high
"Install and seal air ducts, combustion air openings, or ventilation openings to improve heating and cooling efficiency.",Weatherization Installers and Technicians,8071,E0,high
"Install and set up medical equipment, using hand tools.",Medical Equipment Preparers,8072,E0,high
"Install appliances such as refrigerators, washing machines, and stoves.",Home Appliance Repairers,8073,E1,moderate
"Install assemblies, such as flashing, pipes, tubes, heating and air conditioning ducts, furnace casings, rain gutters, or downspouts in supportive frameworks.",Sheet Metal Workers,8074,E0,high
"Install attachments to machines for gluing, folding, printing, or cutting.","Paper Goods Machine Setters, Operators, and Tenders",8075,E0,high
"Install attic ventilation systems, such as turbine vents, gable or ridge vents, or conventional or solar-powered exhaust fans.",Roofers,8076,E0,high
Install automatic controls to regulate pipe systems.,"Plumbers, Pipefitters, and Steamfitters",8077,E0,moderate
"Install auxiliary components to heating or cooling equipment, such as expansion or discharge valves, air ducts, pipes, blowers, dampers, flues, or stokers.","Heating, Air Conditioning, and Refrigeration Mechanics and Installers",8078,E0,high
Install blanket insulation between studs and tack plastic moisture barriers over insulation.,Drywall and Ceiling Tile Installers,8079,E0,high
"Install boilers, containers, and other structures.",Structural Metal Fabricators and Fitters,8080,E0,high
Install bookkeeping systems and resolve system problems.,Insurance Sales Agents,8081,E0,high
"Install booths, exhibits, displays, carpets, or drapes, as guided by floor plan of building or specifications.",Merchandise Displayers and Window Trimmers,8082,E0,high
"Install broadcast equipment, troubleshoot equipment problems, and perform maintenance or minor repairs, using hand tools.",Broadcast Technicians,8083,E0,high
"Install burners and auxiliary equipment, using hand tools.",Stationary Engineers and Boiler Operators,8084,E0,high
"Install carpet on some floors using adhesive, following prescribed method.",Carpet Installers,8085,E1,moderate
Install casings to prevent cave-ins.,Continuous Mining Machine Operators,8086,E0,high
"Install circulating pumps using pipe, fittings, soldering equipment, electrical supplies, and hand tools.",Solar Thermal Installers and Technicians,8087,E0,high
"Install clay structures in melting tanks and drawing kilns to control the flow and temperature of molten glass, using hoists and hand tools.","Refractory Materials Repairers, Except Brickmasons",8088,E0,high
"Install color effects or image patterns, such as color filters, onto lighting fixtures.",Lighting Technicians,8089,E0,high
"Install copper or plastic plumbing using pipes, fittings, pipe cutters, acetylene torches, solder, wire brushes, sand cloths, flux, plastic pipe cleaners, or plastic glue.",Solar Thermal Installers and Technicians,8090,E0,high
"Install copper-clad ground rods, using a manual post driver.",Helpers--Electricians,8091,E0,high
"Install decorations, such as flags, banners, festive lights, or bunting on or in building, street, exhibit hall, or booth.",Merchandise Displayers and Window Trimmers,8092,E0,high
"Install dehumidifiers or related equipment for spaces that require cool, dry air to operate efficiently, such as computer rooms.","Heating, Air Conditioning, and Refrigeration Mechanics and Installers",8093,E0,high
"Install dies onto machines or presses and coat dies with parting agents, according to work order specifications.","Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",8094,E0,high
"Install dies, cutters, and extensions to screeds onto machines, using hand tools.","Paving, Surfacing, and Tamping Equipment Operators",8095,E0,high
"Install dies, machine screws, and sizing rings on machines that extrude thermoplastic or metal materials.","Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",8096,E0,high
"Install dock seals, bumpers, or shelters.",Mechanical Door Repairers,8097,E0,high
"Install door frames, rails, steel rolling curtains, electronic-eye mechanisms, or electric door openers and closers, using power tools, hand tools, and electronic test equipment.",Mechanical Door Repairers,8098,E0,high
"Install door hardware, such as locks and closers.",Locksmiths and Safe Repairers,8099,E0,high
"Install doors, hatches, brackets, and clips.","Layout Workers, Metal and Plastic",8100,E0,high
"Install electrical and electronic components, assemblies, and systems in aircraft, using hand tools, power tools, or soldering irons.",Avionics Technicians,8101,E0,high
"Install electrical assemblies and wiring in aircraft camera housings and memory cards or film in cameras, following blueprints and using hand tools and soldering equipment.",Camera and Photographic Equipment Repairers,8102,E2,moderate
Install electrical cables or wire fixtures.,Lighting Technicians,8103,E0,high
"Install electrical equipment such as air-conditioning, heating, or ignition systems and components such as generator brushes and commutators, using hand tools.","Electrical and Electronics Installers and Repairers, Transportation Equipment",8104,E0,high
"Install electrical or electronic parts and hardware in housings or assemblies, using soldering equipment and hand tools.",Electro-Mechanical and Mechatronics Technologists and Technicians,8105,E0,high
Install electrical wires and controls by attaching conduit along shaft walls from floor to floor and pulling plastic-covered wires through the conduit.,Elevator and Escalator Installers and Repairers,8106,E0,high
"Install engine controls, propeller shafts, or propellers.",Ship Engineers,8107,E0,high
"Install equipment and accessories, such as stereos, navigation equipment, communication equipment, and security systems.","Electronic Equipment Installers and Repairers, Motor Vehicles",8108,E0,high
Install equipment such as amplifiers or repeaters to maintain the strength of communications transmissions.,Telecommunications Line Installers and Repairers,8109,E0,high
"Install equipment such as guides, guards, gears, cooling equipment, and rolls, using hand tools.","Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",8110,E0,high
Install equipment to improve the energy or operational efficiency of residential or commercial buildings.,"Maintenance and Repair Workers, General",8111,E0,high
"Install equipment, such as instrumentation, test equipment, engines, or aftermarket products, to ensure proper interfaces.",Automotive Engineering Technicians,8112,E0,high
"Install equipment, such as spray units, cutting blades, or screens, using hand tools.","Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",8113,E0,high
"Install expansion and control valves, using acetylene torches and wrenches.","Heating, Air Conditioning, and Refrigeration Mechanics and Installers",8114,E0,high
"Install experimental parts or assemblies, such as hydraulic systems, electrical wiring, lubricants, or batteries into machines or mechanisms.",Machinists,8115,E0,high
"Install fixtures, appliances, or equipment designed to reduce water or energy consumption.","Plumbers, Pipefitters, and Steamfitters",8116,E0,high
"Install fixtures, outlets, terminal boards, switches, and wall boxes, using hand tools.","Electrical and Electronics Installers and Repairers, Transportation Equipment",8117,E0,high
"Install flat-plat, evacuated glass, or concentrating solar collectors on mounting devices, using brackets or struts.",Solar Thermal Installers and Technicians,8118,E0,high
"Install gas burners to convert furnaces from wood, coal, or oil.","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",8119,E0,high
Install gas pipes and water lines to connect appliances to existing gas lines or plumbing.,Home Appliance Repairers,8120,E0,high
"Install gauges, stream flow recorders, and soil moisture measuring instruments, and collect and record data from them to assist with watershed analysis.",Forest and Conservation Technicians,8121,E1,high
Install gears and holding devices on conveyor equipment.,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",8122,E0,high
"Install green plumbing equipment, such as faucet flow restrictors, dual-flush or pressure-assisted flush toilets, or tankless hot water heaters.","Plumbers, Pipefitters, and Steamfitters",8123,E0,high
"Install ground leads and connect power cables to equipment, such as motors.",Electricians,8124,E0,high
"Install ground rigging for yarding lines, attaching chokers to logs and to the lines.",Riggers,8125,E0,high
"Install guide wires on exterior surfaces of buildings to indicate thickness of plaster or stucco and nail wire mesh, lath, or similar materials to the outside surface to hold stucco in place.",Plasterers and Stucco Masons,8126,E0,high
Install handrails under the direction of a carpenter.,Helpers--Carpenters,8127,E0,high
"Install hardware, such as hinges, handles, catches, or drawer pulls, using hand tools.",Cabinetmakers and Bench Carpenters,8128,E0,high
Install heat exchangers and heat exchanger fluids according to installation manuals and schematics.,Solar Thermal Installers and Technicians,8129,E0,moderate
"Install holding fixtures, cams, gears, and stops to control stock and tool movement, using hand tools, power tools, and measuring instruments.","Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",8130,E0,high
Install horizontal and vertical metal or wooden studs to frames so that wallboard can be attached to interior walls.,Drywall and Ceiling Tile Installers,8131,E0,high
"Install layers of vegetation-based green roofs, including protective membranes, drainage, aeration, water retention and filter layers, soil substrates, irrigation materials, and plants.",Roofers,8132,E0,high
Install lightning protection on trees.,Tree Trimmers and Pruners,8133,E0,high
"Install machines, making the necessary water and electrical connections in compliance with codes.","Coin, Vending, and Amusement Machine Servicers and Repairers",8134,E1,moderate
"Install manholes, handholes, taps, tubes, valves, gauges, or feedwater connections in drums of water tube boilers, using hand tools.",Boilermakers,8135,E0,high
"Install mechanical linkages and actuators, using tensiometers to verify tension of cables.","Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",8136,E0,high
Install medical equipment.,Medical Equipment Repairers,8137,E1,high
"Install metal lath where plaster applications will be exposed to weather or water, or for curved or irregular surfaces.",Drywall and Ceiling Tile Installers,8138,E0,high
Install metal molding at wall corners to secure wallboard.,Tapers,8139,E0,high
"Install module array interconnect wiring, implementing measures to disable arrays during installation.",Solar Photovoltaic Installers,8140,E2,moderate
"Install monitoring system components, such as flow meters, temperature gauges, and pressure gauges, according to system design and manufacturer specifications.",Solar Thermal Installers and Technicians,8141,E0,high
Install motorcycle accessories.,Motorcycle Mechanics,8142,E0,high
"Install network software, including security or firewall software.",Computer Network Support Specialists,8143,E0,high
"Install new foam dams on pinchwelds, if required.",Automotive Glass Installers and Repairers,8144,E0,high
"Install new fuses, electrical cables, or power sources as required.","Electrical and Electronics Installers and Repairers, Transportation Equipment",8145,E0,high
"Install new hardware or software systems or components, ensuring integration with existing network systems.",Computer Network Support Specialists,8146,E0,moderate
Install new robotic systems in stationary positions or on tracks.,Robotics Technicians,8147,E0,high
Install new tires and tubes.,Bicycle Repairers,8148,E0,high
"Install or adjust bindery machine devices, such as knives, guides, rollers, rounding forms, creasing rams, or clamps, to accommodate sheets, signatures, or books of specified sizes.",Print Binding and Finishing Workers,8149,E0,high
"Install or calibrate electrical or mechanical equipment, such as motors, engines, switchboards, relays, switch gears, meters, pumps, hydraulics, or flood channels.",Hydroelectric Plant Technicians,8150,E0,high
"Install or configure Web server software or hardware to ensure that directory structure is well-defined, logical, and secure, and that files are named properly.",Web Administrators,8151,E0,high
"Install or maintain electrical control systems, industrial automation systems, or electrical equipment, including control circuits, variable speed drives, or programmable logic controllers.",Electrical and Electronic Engineering Technologists and Technicians,8152,E0,high
"Install or maintain landscaped areas, performing tasks such as removing snow, pouring cement curbs, or repairing sidewalks.","First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",8153,E0,high
Install or program computer hardware or machine or instrumentation software in microprocessor-based systems.,Electro-Mechanical and Mechatronics Technologists and Technicians,8154,E2,moderate
"Install or remove special equipment, such as tire chains, grader blades, plow blades, or sanders.",Heavy and Tractor-Trailer Truck Drivers,8155,E0,high
Install or repair accessories.,Bus and Truck Mechanics and Diesel Engine Specialists,8156,E0,high
"Install or repair air purification systems, such as specialized filters or ultraviolet (UV) light purification systems.","Heating, Air Conditioning, and Refrigeration Mechanics and Installers",8157,E0,high
"Install or repair network cables, including fiber optic cables.",Computer Network Support Specialists,8158,E0,high
Install or repair sanitary or stormwater sewer structures or pipe systems.,Pipelayers,8159,E0,high
Install or repair self-contained ground source heat pumps or hybrid ground or air source heat pumps to minimize carbon-based energy consumption and reduce carbon emissions.,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",8160,E0,high
"Install or repair tower lighting components, including strobes, beacons, or lighting controllers.","Radio, Cellular, and Tower Equipment Installers and Repairers",8161,E0,high
"Install or replace machinery, equipment, and new or replacement parts and instruments, using hand or power tools.","Helpers--Installation, Maintenance, and Repair Workers",8162,E0,high
"Install or use instruments such as lasers, grade rods, or transit levels.",Pipelayers,8163,E0,high
Install outer doors and door frames at elevator entrances on each floor of a structure.,Elevator and Escalator Installers and Repairers,8164,E0,high
"Install partially overlapping layers of material over roof insulation surfaces, using chalk lines, gauges on shingling hatchets, or lines on shingles.",Roofers,8165,E0,high
"Install photovoltaic (PV) systems in accordance with codes and standards, using drawings, schematics, and instructions.",Solar Photovoltaic Installers,8166,E2,moderate
Install pilings or footings for piers or bridges.,Commercial Divers,8167,E0,high
"Install pipe assemblies, fittings, valves, appliances such as dishwashers or water heaters, or fixtures such as sinks or toilets, using hand or power tools.","Plumbers, Pipefitters, and Steamfitters",8168,E0,high
"Install pipe systems to support alternative energy-fueled systems, such as geothermal heating or cooling systems.","Plumbers, Pipefitters, and Steamfitters",8169,E0,high
"Install plumbing, such as dip tubes, port fittings, drain tank valves, pressure temperature relief valves, or tanks, according to manufacturer specifications and building codes.",Solar Thermal Installers and Technicians,8170,E0,high
"Install pre-assembled metal or wood frameworks for windows or doors to be fitted with glass panels, using hand tools.",Glaziers,8171,E0,high
"Install preformed metal scaffolding in interiors of cupolas, using hand tools.","Refractory Materials Repairers, Except Brickmasons",8172,E0,high
Install pressure-control devices onto wellheads.,"Service Unit Operators, Oil and Gas",8173,E0,high
"Install protective devices, such as bracing, padding, or strapping, to prevent shifting or damage to items being transported.","Laborers and Freight, Stock, and Material Movers, Hand",8174,E0,high
Install refractory bricks or other heat-resistant materials in fireboxes of pressure vessels.,Boilermakers,8175,E0,high
"Install regulators and related equipment such as gas meters, odorization units, and gas pressure telemetering equipment.","Control and Valve Installers and Repairers, Except Mechanical Door",8176,E0,high
"Install repaired equipment in various settings, such as industrial or military establishments.","Electrical and Electronics Repairers, Commercial and Industrial Equipment",8177,E0,high
Install repaired parts into equipment or install new equipment.,Machinists,8178,E2,moderate
Install replacement glass in vehicles.,Automotive Glass Installers and Repairers,8179,E0,high
Install required labels on solar system components and hardware.,Solar Photovoltaic Installers,8180,E0,high
"Install robot and modify its program, using teach pendant.",Millwrights,8181,E0,high
"Install rock gardens, ponds, decks, drainage systems, irrigation systems, retaining walls, fences, planters, or playground equipment.",Landscaping and Groundskeeping Workers,8182,E0,high
"Install rotary knives on flexible cables mounted on machine reels, according to the diameters of pipes to be cleaned.",Septic Tank Servicers and Sewer Pipe Cleaners,8183,E0,high
"Install rough door and window frames, subflooring, fixtures, or temporary supports in structures undergoing construction or repair.",Carpenters,8184,E0,high
Install rubber channeling strips around edges of glass or frames to weatherproof windows or to prevent rattling.,Automotive Glass Installers and Repairers,8185,E0,high
"Install safes, vault doors, and deposit boxes according to blueprints, using equipment such as power drills, taps, dies, truck cranes, and dollies.",Locksmiths and Safe Repairers,8186,E0,high
Install safety devices on machinery or direct device installation.,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",8187,E2,moderate
"Install sewer, water, or storm drain pipes, using pipe-laying machinery or laser guidance equipment.",Construction Laborers,8188,E0,high
Install sheet metal around insulated pipes with screws to protect the insulation from weather conditions or physical damage.,"Insulation Workers, Mechanical",8189,E0,high
Install skylights on roofs to increase natural light inside structures or to reduce energy costs.,Roofers,8190,E0,high
"Install solar collector mounting devices on tile, asphalt, shingle, or built-up gravel roofs, using appropriate materials and penetration methods.",Solar Thermal Installers and Technicians,8191,E0,high
"Install solar roofing systems that have energy-collecting photovoltaic panels built into roofing membranes, shingles, or tiles.",Roofers,8192,E0,high
Install solar thermal system controllers and sensors.,Solar Thermal Installers and Technicians,8193,E2,moderate
Install storm windows or storm doors and verify proper fit.,Weatherization Installers and Technicians,8194,E0,high
"Install straps, braces, and padding to loads to prevent shifting or damage during shipment.",Cargo and Freight Agents,8195,E0,high
"Install structures or fixtures, such as windows, frames, floorings, trim, or hardware, using carpenters' hand or power tools.",Carpenters,8196,E0,high
"Install systems of recording costs or other financial and budgetary data or provide advice on such systems, based on examination of current financial records.","Tax Examiners and Collectors, and Revenue Agents",8197,E2,moderate
"Install telephone station equipment, such as intercommunication systems, transmitters, receivers, relays, and ringers, and related apparatus, such as coin collectors, telephone booths, and switching-key equipment.","Telecommunications Equipment Installers and Repairers, Except Line Installers",8198,E0,high
Install tools in spindles.,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",8199,E0,high
"Install underground storm, sanitary, or water piping systems, extending piping as needed to connect fixtures and plumbing.","Plumbers, Pipefitters, and Steamfitters",8200,E0,high
"Install updated software and programs that maintain existing software or provide requested features, such as time-correlated call routing.","Telecommunications Equipment Installers and Repairers, Except Line Installers",8201,E2,moderate
Install vapor barriers or layers of insulation on flat roofs.,Roofers,8202,E0,high
"Install various types of bolts, including truss, glue, and resin bolts, traversing entire ceiling spans.","Roof Bolters, Mining",8203,E0,high
Install watt-hour meters and connect service drops between power lines and consumers' facilities.,Electrical Power-Line Installers and Repairers,8204,E0,high
"Install, adjust, and operate electronic equipment to record, edit, and transmit radio and television programs, motion pictures, video conferencing, or multimedia presentations.",Audio and Video Technicians,8205,E0,high
"Install, adjust, and remove dies, synchronizing cams, forging hammers, and stop guides, using overhead cranes or other hoisting devices, and hand tools.","Forging Machine Setters, Operators, and Tenders, Metal and Plastic",8206,E0,high
"Install, adjust, and repair stationary and mobile radio transmitting and receiving equipment and two-way radio communication systems.","Radio, Cellular, and Tower Equipment Installers and Repairers",8207,E0,high
"Install, adjust, or repair hydraulic or electromagnetic automatic lift mechanisms used to raise and lower automobile windows, seats, and tops.",Automotive Service Technicians and Mechanics,8208,E0,high
"Install, align, and adjust neck rings, press plungers, and feeder tubes.","Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",8209,E0,high
"Install, align, and lock specified punches, dies, cutting blades, or other fixtures in rams or beds of machines, using gauges, templates, feelers, shims, and hand tools.","Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",8210,E0,high
"Install, arrange, assemble, and prepare artifacts for exhibition, ensuring the artifacts' safety, reporting their status and condition, and identifying and correcting any problems with the set up.",Museum Technicians and Conservators,8211,E0,high
"Install, calibrate, operate, or maintain robots.",Robotics Engineers,8212,E0,high
"Install, calibrate, or maintain sensors, mechanical controls, GPS-based vehicle guidance systems, or computer settings.",Precision Agriculture Technicians,8213,E2,moderate
"Install, connect, or adjust thermostats, humidistats, or timers.","Heating, Air Conditioning, and Refrigeration Mechanics and Installers",8214,E0,high
"Install, connect, or test underground or aboveground grounding systems.","Radio, Cellular, and Tower Equipment Installers and Repairers",8215,E0,high
"Install, inspect and test electric meters, relays, and power sources to detect causes of malfunctions and inaccuracies, using hand tools and testing equipment.","Control and Valve Installers and Repairers, Except Mechanical Door",8216,E0,high
"Install, inspect, clean, or repair piping or valves.",Commercial Divers,8217,E0,high
"Install, inspect, maintain, and repair various railroad service equipment on the road or in the shop, including railroad signal systems.",Signal and Track Switch Repairers,8218,E0,high
"Install, level, and align components such as gears, chains, dies, cutters, and needles.",Textile Bleaching and Dyeing Machine Operators and Tenders,8219,E0,high
"Install, level, and align components, such as gears, chains, guides, dies, cutters, or needles, to set up machinery for operation.","Textile Cutting Machine Setters, Operators, and Tenders",8220,E0,high
"Install, level, and align machine components such as gears, chains, guides, dies, cutters, or needles to set up machinery for operation.","Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders Textile Knitting and Weaving Machine Setters, Operators, and Tenders",8221,E0,high
"Install, maintain, and calibrate instruments such as those that monitor water levels, rainfall, and sediments.",Hydrologists,8222,E0,high
"Install, maintain, and repair animal care facility equipment, such as infrared lights, feeding devices, and cages.",Animal Caretakers,8223,E0,high
"Install, maintain, and repair electrical distribution and transmission systems, including conduits, cables, wires, and related equipment, such as transformers, circuit breakers, and switches.",Electrical Power-Line Installers and Repairers,8224,E0,high
"Install, maintain, or repair ground or water source-coupled heat pumps to heat and cool residential or commercial building air or water.",Geothermal Technicians,8225,E0,high
"Install, maintain, or repair hoses, pumps, filters, or screens to maintain processing equipment, using hand tools.","Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",8226,E0,high
"Install, maintain, or repair security systems, alarm devices, or related equipment, following blueprints of electrical layouts and building plans.",Security and Fire Alarm Systems Installers,8227,E0,high
"Install, maintain, or use software testing programs.",Software Quality Assurance Analysts and Testers,8228,E1,moderate
"Install, or coordinate installation of, new or modified hardware, software, or programming modules of telecommunications systems.",Telecommunications Engineering Specialists,8229,E0,high
"Install, program, or repair programmable controllers, robot controllers, end-of-arm tools, or conveyors.",Robotics Technicians,8230,E0,high
"Install, repair, and replace equipment or accessories, such as handlebars, stands, lights, and seats.",Bicycle Repairers,8231,E0,high
"Install, repair, and replace units, fixtures, appliances, and other items and systems in mobile and modular homes, prefabricated buildings, or travel trailers, using hand tools or power tools.",Manufactured Building and Mobile Home Installers,8232,E0,high
"Install, repair, or replace safety glass and related materials, such as back glass heating elements, on vehicles or equipment.",Automotive Glass Installers and Repairers,8233,E0,high
"Install, repair, or replace single-ply roofing systems, using waterproof sheet materials such as modified plastics, elastomeric, or other asphaltic compositions.",Roofers,8234,E0,high
"Install, replace, or change machine parts and attachments, according to production specifications.","Maintenance Workers, Machinery",8235,E0,high
"Install, service, and repair electronic equipment or instruments such as televisions, radios, and videocassette recorders.",Audiovisual Equipment Installers and Repairers,8236,E0,high
"Install, test, or maintain radio frequency identification device (RFID) systems.",Radio Frequency Identification Device Specialists,8237,E2,moderate
Institute civil and criminal prosecutions and cooperate with other law enforcement agencies in the investigation and prosecution of those in violation of immigration or customs laws.,Customs and Border Protection Officers,8238,E0,high
"Instruct and assist children in the development of health and personal habits, such as eating, resting, and toilet behavior.",Nannies,8239,E0,high
"Instruct and counsel patients about prescribed therapeutic regimens, normal growth and development, family planning, emotional problems of daily living, and health maintenance.",Physician Assistants,8240,E0,high
